"FullName","Length","LastWriteTime","Attributes"
"C:\tac-portal\.git\COMMIT_EDITMSG","226","1/22/2026 9:03:20 AM","Archive"
"C:\tac-portal\.git\config","972","1/22/2026 9:32:03 AM","Archive"
"C:\tac-portal\.git\description","73","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\FETCH_HEAD","100","1/22/2026 8:51:55 AM","Archive"
"C:\tac-portal\.git\HEAD","41","1/22/2026 9:32:01 AM","Archive"
"C:\tac-portal\.git\index","44544","1/22/2026 9:31:37 AM","Archive"
"C:\tac-portal\.git\ORIG_HEAD","41","1/22/2026 8:51:55 AM","Archive"
"C:\tac-portal\.git\hooks\applypatch-msg.sample","478","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\commit-msg.sample","896","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\fsmonitor-watchman.sample","4726","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\post-update.sample","189","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\pre-applypatch.sample","424","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\pre-commit.sample","1649","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\pre-merge-commit.sample","416","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\pre-push.sample","1374","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\pre-rebase.sample","4898","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\pre-receive.sample","544","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\prepare-commit-msg.sample","1492","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\push-to-checkout.sample","2783","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\sendemail-validate.sample","2308","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\hooks\update.sample","3650","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\info\exclude","240","1/18/2026 11:41:23 AM","Archive"
"C:\tac-portal\.git\logs\refs",,"1/22/2026 6:09:28 AM","Directory"
"C:\tac-portal\.git\logs\HEAD","12561","1/22/2026 9:32:01 AM","Archive"
"C:\tac-portal\.git\logs\refs\heads",,"1/22/2026 8:24:32 AM","Directory"
"C:\tac-portal\.git\logs\refs\remotes",,"1/18/2026 11:41:32 AM","Directory"
"C:\tac-portal\.git\logs\refs\stash","231","1/22/2026 6:09:28 AM","Archive"
"C:\tac-portal\.git\logs\refs\heads\chore",,"1/21/2026 2:13:53 AM","Directory"
"C:\tac-portal\.git\logs\refs\heads\cleanup",,"1/22/2026 9:32:01 AM","Directory"
"C:\tac-portal\.git\logs\refs\heads\feature",,"1/18/2026 3:42:14 PM","Directory"
"C:\tac-portal\.git\logs\refs\heads\fix",,"1/22/2026 8:24:32 AM","Directory"
"C:\tac-portal\.git\logs\refs\heads\review",,"1/20/2026 1:53:33 AM","Directory"
"C:\tac-portal\.git\logs\refs\heads\main","3287","1/22/2026 9:03:20 AM","Archive"
"C:\tac-portal\.git\logs\refs\heads\chore\comprehensive-review","701","1/21/2026 2:43:12 AM","Archive"
