"Hash","Path","SizeKB"
"A7AD0136A7E7137935A765AD671B1BC6BCF419FFCB06E2220DD5D0EF3C60D499","C:\tac-portal\testsprite_tests\tmp\prd_files\Production-Level QA+Audit.md","10.76"
"AE155E5217FA3894CCACAFE3FAA81C62C2477F6F4ED0D29D9080263E1F697F8A","C:\tac-portal\docs\SENTRY_IMPLEMENTATION.md","7.1"
"AE155E5217FA3894CCACAFE3FAA81C62C2477F6F4ED0D29D9080263E1F697F8A","C:\tac-portal\testsprite_tests\tmp\prd_files\SENTRY_IMPLEMENTATION.md","7.1"
"B9B72B8C10CA4696F763B8F0345A51C8E71C1718B5E86CC1EDEED6F6516DF605","C:\tac-portal\docs\CODEGEN_CODE_REVIEW_PROMPT.md","13.8"
"B9B72B8C10CA4696F763B8F0345A51C8E71C1718B5E86CC1EDEED6F6516DF605","C:\tac-portal\testsprite_tests\tmp\prd_files\CODEGEN_CODE_REVIEW_PROMPT.md","13.8"
"C9B7FAEF9BFC3F18D8AD5A408D274D8BB5D2D35866CF603E8055D3B26F25C643","C:\tac-portal\docs\TAC-Cargo-QA-Audit.tasks.md","90.59"
"C9B7FAEF9BFC3F18D8AD5A408D274D8BB5D2D35866CF603E8055D3B26F25C643","C:\tac-portal\testsprite_tests\tmp\prd_files\TAC-Cargo-QA-Audit.tasks.md","90.59"
"D33257E5CC1093255BF75B5EC4875DA61C52D0D356674AA32DF7852E47511033","C:\tac-portal\docs\CRUD-implementation.md","20.67"
"D33257E5CC1093255BF75B5EC4875DA61C52D0D356674AA32DF7852E47511033","C:\tac-portal\testsprite_tests\tmp\prd_files\CRUD-implementation.md","20.67"
"E0B9083697D4A9AA1F6E5C453F1B5E94DC15188ACC9078D193CCF3FCA49DDC1C","C:\tac-portal\docs\FULL_CODEBASE_REVIEW.md","4.12"
"E0B9083697D4A9AA1F6E5C453F1B5E94DC15188ACC9078D193CCF3FCA49DDC1C","C:\tac-portal\testsprite_tests\tmp\prd_files\FULL_CODEBASE_REVIEW.md","4.12"
"EE7158630E7FE7277A59726A561137F14327676C74A1589919A76EC94504E97C","C:\tac-portal\playwright-report\data\685156000cf82be2efbb8954bdf6659d7e3ffb42.md","16.54"
"EE7158630E7FE7277A59726A561137F14327676C74A1589919A76EC94504E97C","C:\tac-portal\test-results\enterprise-stress-Performa-8f94b-oard-within-acceptable-time-firefox\error-context.md","16.54"
"F0A384A569E8C96114C9763A20F29DF9A5F7755C7B0452C4C7FFB1B4813B1CE7","C:\tac-portal\docs\README.md","16.73"
"F0A384A569E8C96114C9763A20F29DF9A5F7755C7B0452C4C7FFB1B4813B1CE7","C:\tac-portal\testsprite_tests\tmp\prd_files\README.md","16.73"
